KEGG ID,Label,ID
C11437,1-Deoxy-D-xylulose 5-phosphate,_1DeoxyDxylulose5phosphate
C02554,L-Valyl-tRNA(Val),LValyltRNAVal
C00979,O-Acetyl-L-serine,OAcetylLserine
C00631,2-Phospho-D-glycerate,_2PhosphoDglycerate
C15973,Dihydrolipoamide-E,DihydrolipoamideE
C00221,beta-D-Glucose,betaDGlucose
C00320,Thiosulfate,Thiosulfate
C00492,Raffinose,Raffinose
C01652,tRNA(Trp),tRNATrp
C01094,D-Fructose 1-phosphate,DFructose1phosphate
C06018,dTDP-N-acetylviosamine,dTDPNacetylviosamine
C00576,Betaine aldehyde,Betainealdehyde
C18902,Methylseleninate,Methylseleninate
C00099,beta-Alanine,betaAlanine
C00019,SAM,SAM
C01180,4-Methylthio-2-oxobutanoic acid,_4Methylthio2oxobutanoicacid
C00064,L-Glutamine,LGlutamine
C00719,Betaine,Betaine
C01146,2-Hydroxy-3-oxopropanoate,_2Hydroxy3oxopropanoate
C14839,"Bromobenzene-3,4-oxide",Bromobenzene34oxide
C04133,N-Acetyl-L-glutamate 5-phosphate,NAcetylLglutamate5phosphate
C14840,"Bromobenzene-2,3-oxide",Bromobenzene23oxide
C01444,Oxamate,Oxamate
C16551,Alcophosphamide,Alcophosphamide
C02380,Mercaptopurine,Mercaptopurine
C02987,L-Glutamyl-tRNA(Glu),LGlutamyltRNAGlu
C00806,Tryptophan,Tryptophan
C00931,Porphobilinogen,Porphobilinogen
C14865,2-(S-Glutathionyl)acetyl chloride,_2SGlutathionylacetylchloride
C04646,6-Thioinosine-5'-monophosphate,_6Thioinosine5monophosphate
C14803,"1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene",_1Nitro7hydroxy8glutathionyl78dihydronaphthalene
C00934,Sugar phosphate,Sugarphosphate
C00364,dTMP,dTMP
C14806,"1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene",_1Nitro5glutathionyl6hydroxy56dihydronaphthalene
C14874,Glutathione episulfonium ion,Glutathioneepisulfoniumion
C00886,L-Alanyl-tRNA,LAlanyltRNA
C01636,tRNA(Arg),tRNAArg
C14870,2-Bromoacetaldehyde,_2Bromoacetaldehyde
C00689,Trehalose 6-phosphate,Trehalose6phosphate
C00726,Nitrile,Nitrile
C04332,"6,7-Dimethyl-8-(D-ribityl)lumazine",_67Dimethyl8Dribityllumazine
C06232,Molybdate,Molybdate
C02876,Propanoyl phosphate,Propanoylphosphate
C04896,Phosphoribosyl-formimino-AICAR-phosphate,PhosphoribosylformiminoAICARphosphate
C14793,"(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene",_1RGlutathionyl2Rhydroxy12dihydronaphthalene
C05445,"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al",_3alpha7alphaDihydroxy5betacholestan26al
C01721,L-Fuculose,LFuculose
C00475,Cytidine,Cytidine
C01172,beta-D-Glucose 6-phosphate,betaDGlucose6phosphate
C05763,trans-Hexadec-2-enoyl-ACP,transHexadec2enoylACP
C05688,L-Selenocysteine,LSelenocysteine
C16433,Aspartate,Aspartate
C05698,Selenohomocysteine,Selenohomocysteine
C01005,O-Phospho-L-serine,OPhosphoLserine
C00490,Itaconate,Itaconate
C00054,PAP,PAP
C00062,L-Arginine,LArginine
C01019,L-Fucose,LFucose
C01755,Thiocyanate,Thiocyanate
C00911,Ribonucleoside,Ribonucleoside
C03692,MGDG,MGDG
C11439,Formyl-L-methionyl peptide,FormylLmethionylpeptide
C11278,"Aflatoxin B1exo-8,9-epoxide-GSH",AflatoxinB1exo89epoxideGSH
C00177,Cyanide ion,Cyanideion
C14786,"(1R,2S)-Naphthalene epoxide",_1R2SNaphthaleneepoxide
C00226,Primary alcohol,Primaryalcohol
C00330,Deoxyguanosine,Deoxyguanosine
C14848,"2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene",_23Dihydro2Sglutathionyl3hydroxybromobenzene
C01612,Secondary alcohol,Secondaryalcohol
C16633,5-Fluorouridine,_5Fluorouridine
C05813,"2-Octaprenyl-6-methoxy-1,4-benzoquinone",_2Octaprenyl6methoxy14benzoquinone
C05444,"3alpha,7alpha,26-Trihydroxy-5beta-cholestane",_3alpha7alpha26Trihydroxy5betacholestane
C00251,Chorismate,Chorismate
C00153,Nicotinamide,Nicotinamide
C02323,Salicyl alcohol,Salicylalcohol
C05650,Tetrahydropteridine,Tetrahydropteridine
C00121,D-Ribose,DRibose
C04884,GM2,GM2
C06056,Hydroxythreonine,Hydroxythreonine
C01326,HCN,HCN
C06126,Digalactosylceramide,Digalactosylceramide
C03539,S-Ribosyl-L-homocysteine,SRibosylLhomocysteine
C00768,Histidine,Histidine
C07648,Thioguanine,Thioguanine
C04489,5-Methyltetrahydropteroyltri-L-glutamate,_5MethyltetrahydropteroyltriLglutamate
C16738,Sulfuric monoester,Sulfuricmonoester
C04691,DAHP,DAHP
C06148,"2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine",_25Diamino65triphosphoryl34trihydroxy2oxopentylamino4oxopyrimidine
C00415,Dihydrofolate,Dihydrofolate
C11583,4-Glutathionyl cyclophosphamide,_4Glutathionylcyclophosphamide
C03912,(S)-1-Pyrroline-5-carboxylate,S1Pyrroline5carboxylate
C02520,5'-Ribonucleotide,_5Ribonucleotide
C01327,HCl,HCl
C05760,trans-Tetradec-2-enoyl-ACP,transTetradec2enoylACP
C00469,Ethanol,Ethanol
C00169,Carbamoyl phosphate,Carbamoylphosphate
C03406,N-(L-Arginino)succinate,NLArgininosuccinate
C01643,tRNA(His),tRNAHis
C05983,Propionyladenylate,Propionyladenylate
C03880,N-Substituted aminoacyl-tRNA,NSubstitutedaminoacyltRNA
C00577,D-Glyceraldehyde,DGlyceraldehyde
C05750,3-Oxooctanoyl-ACP,_3OxooctanoylACP
C00385,Xanthine,Xanthine
C05401,Galactosylglycerol,Galactosylglycerol
C00288,Bicarbonate,Bicarbonate
C00173,Acyl-ACP,AcylACP
C15812,[Enzyme]-S-sulfanylcysteine,EnzymeSsulfanylcysteine
C02320,R-S-Glutathione,RSGlutathione
C00067,Formaldehyde,Formaldehyde
C02972,Dihydrolipoylprotein,Dihydrolipoylprotein
C05755,Decanoyl-ACP,DecanoylACP
C00242,Guanine,Guanine
C00123,L-Leucine,LLeucine
C00255,Riboflavin,Riboflavin
C05198,5'-Deoxyadenosine,_5Deoxyadenosine
C16348,cis-3-Chloroallyl aldehyde,cis3Chloroallylaldehyde
C02839,L-Tyrosyl-tRNA(Tyr),LTyrosyltRNATyr
C00031,Glucose,Glucose
C00209,Oxalate,Oxalate
C04534,Cellobiose 6-phosphate,Cellobiose6phosphate
C04677,AICAR,AICAR
C00114,Choline,Choline
C06899,Chloral hydrate,Chloralhydrate
C00760,Cellulose,Cellulose
C16239,Lipoyl-ACP,LipoylACP
C15587,Purine,Purine
C11215,Arsenate,Arsenate
C00134,Putrescine,Putrescine
C14463,(R)-3-Hydroxy-3-methyl-2-oxopentanoate,R3Hydroxy3methyl2oxopentanoate
C01401,Alanine,Alanine
C00546,Methylglyoxal,Methylglyoxal
C02163,L-Arginyl-tRNA,LArginyltRNA
C14871,S-(Formylmethyl)glutathione,SFormylmethylglutathione
C04916,Phosphoribulosyl-formimino-AICAR-phosphate,PhosphoribulosylformiminoAICARphosphate
C15532,N-Acetyl-L-citrulline,NAcetylLcitrulline
C07836,D-glycero-beta-D-manno-Heptose 7-phosphate,DglycerobetaDmannoHeptose7phosphate
C14868,DCVG,DCVG
C19935,Azide,Azide
C07182,Tromethamine,Tromethamine
C05796,Galactan,Galactan
C00620,Ribose 1-phosphate,Ribose1phosphate
C05751,trans-Oct-2-enoyl-ACP,transOct2enoylACP
C01021,Aromatic amino acid,Aromaticaminoacid
C03023,Peptide-L-methionine,PeptideLmethionine
C01651,tRNA(Thr),tRNAThr
C00826,L-Arogenate,LArogenate
C03972,"2,3,4,5-Tetrahydrodipicolinate",_2345Tetrahydrodipicolinate
C00389,Quercetin,Quercetin
C00179,Agmatine,Agmatine
C00027,Hydrogen peroxide,Hydrogenperoxide
C01159,DPG,DPG
C00043,UDP-N-acetylglucosamine,UDPNacetylglucosamine
C00857,Deamino-NAD+,DeaminoNAD
C00842,dTDP-glucose,dTDPglucose
C00680,"meso-2,6-Diaminoheptanedioate",meso26Diaminoheptanedioate
C00033,Acetate,Acetate
C01613,Stachyose,Stachyose
C00399,Ubiquinone,Ubiquinone
C03419,Nucleoside 3'-phosphate,Nucleoside3phosphate
C01646,tRNA(Lys),tRNALys
C00155,Homocysteine,Homocysteine
C00141,3-Methyl-2-oxobutanoic acid,_3Methyl2oxobutanoicacid
C03741,L-Glutamate 1-semialdehyde,LGlutamate1semialdehyde
C05759,3-Oxotetradecanoyl-ACP,_3OxotetradecanoylACP
C15585,myo-Inositol phosphate,myoInositolphosphate
C16698,MurNAc 6-phosphate,MurNAc6phosphate
C04631,UDP-N-acetylglucosamine enolpyruvate,UDPNacetylglucosamineenolpyruvate
C19586,"2,3-Epoxyaflatoxin B1",_23EpoxyaflatoxinB1
C06055,4-(Phosphonooxy)-threonine,_4Phosphonooxythreonine
C05762,3-Oxohexadecanoyl-ACP,_3OxohexadecanoylACP
C16615,6-Methylthioinosine-5'-monophosphate,_6Methylthioinosine5monophosphate
C14864,S-(2-Chloroacetyl)glutathione,S2Chloroacetylglutathione
C04144,Tetrahydropteroyltri-L-glutamate,TetrahydropteroyltriLglutamate
C06790,Trichloroethene,Trichloroethene
C04688,HMA,HMA
C00455,Nicotinamide D-ribonucleotide,NicotinamideDribonucleotide
C04751,5'-Phosphoribosyl-4-carboxy-5-aminoimidazole,_5Phosphoribosyl4carboxy5aminoimidazole
C02739,Phosphoribosyl-ATP,PhosphoribosylATP
C02702,L-Prolyl-tRNA(Pro),LProlyltRNAPro
C00059,Sulfate,Sulfate
C05400,Epimelibiose,Epimelibiose
C05691,Se-Adenosylselenomethionine,SeAdenosylselenomethionine
C16618,6-Thioxanthine 5'-monophosphate,_6Thioxanthine5monophosphate
C03794,Adenylosuccinate,Adenylosuccinate
C03148,N-Methyl-L-amino acid,NMethylLaminoacid
C15586,Purine nucleoside,Purinenucleoside
C04261,Protein N-pros-phosphohistidine,ProteinNprosphosphohistidine
C14858,"2,2-Dichloroacetaldehyde",_22Dichloroacetaldehyde
C00579,Dihydrolipoamide,Dihydrolipoamide
C04640,5'-Phosphoribosylformylglycinamidine,_5Phosphoribosylformylglycinamidine
C07490,Trichloroethanol,Trichloroethanol
C05764,Hexadecanoyl-ACP,HexadecanoylACP
C00170,Methylthioadenosine,Methylthioadenosine
C00742,Fluoride,Fluoride
C03785,"D-Tagatose 1,6-bisphosphate",DTagatose16bisphosphate
C14851,"Benzo[a]pyrene-4,5-oxide",Benzoapyrene45oxide
C00163,Propanoate,Propanoate
C00106,Uracil,Uracil
C05404,Manninotriose,Manninotriose
C03356,3-Phospho-D-erythronate,_3PhosphoDerythronate
C00672,2-Deoxy-D-ribose 1-phosphate,_2DeoxyDribose1phosphate
C03125,L-Cysteinyl-tRNA(Cys),LCysteinyltRNACys
C00522,Pantoate,Pantoate
C11440,Methionyl peptide,Methionylpeptide
C00270,N-Acetylneuraminate,NAcetylneuraminate
C00655,XMP,XMP
C02353,"2',3'-Cyclic AMP",_23CyclicAMP
C01644,tRNA(Ile),tRNAIle
C00736,Cysteine,Cysteine
C00665,"beta-D-Fructose 2,6-bisphosphate",betaDFructose26bisphosphate
C04618,(3R)-3-Hydroxybutanoyl-ACP,_3R3HydroxybutanoylACP
C16155,UDP-L-Ara4O,UDPLAra4O
C01157,Hydroxyproline,Hydroxyproline
C15547,"1,4-Dihydroxy-2-naphthoyl-CoA",_14Dihydroxy2naphthoylCoA
C00192,Hydroxylamine,Hydroxylamine
C01977,tRNA guanine,tRNAguanine
C00458,dCTP,dCTP
C03127,L-Isoleucyl-tRNA(Ile),LIsoleucyltRNAIle
C00342,Thioredoxin,Thioredoxin
C13378,"alpha,beta-Dihydroxyethyl-TPP",alphabetaDihydroxyethylTPP
C04376,N-Formyl-GAR,NFormylGAR
C15998,L-Methionine (R)-S-oxide,LMethionineRSoxide
C00250,Pyridoxal,Pyridoxal
C01645,tRNA(Leu),tRNALeu
C02086,Thioglycolate,Thioglycolate
C06054,2-Oxo-3-hydroxy-4-phosphobutanoate,_2Oxo3hydroxy4phosphobutanoate
C02575,PCP,PCP
C14859,Chloroacetyl chloride,Chloroacetylchloride
C05922,Formamidopyrimidine nucleoside triphosphate,Formamidopyrimidinenucleosidetriphosphate
C04620,(R)-3-Hydroxyoctanoyl-ACP,R3HydroxyoctanoylACP
C05753,3-Oxodecanoyl-ACP,_3OxodecanoylACP
C06006,(S)-2-Aceto-2-hydroxybutanoate,S2Aceto2hydroxybutanoate
C15556,"L-3,4-Dihydroxybutan-2-one 4-phosphate",L34Dihydroxybutan2one4phosphate
C14863,2-(S-Glutathionyl)acetyl glutathione,_2SGlutathionylacetylglutathione
C00884,Homocarnosine,Homocarnosine
C18713,Copper sulfate,Coppersulfate
C05756,3-Oxododecanoyl-ACP,_3OxododecanoylACP
C01177,Inositol 1-phosphate,Inositol1phosphate
C01103,Orotidylic acid,Orotidylicacid
C00137,myo-Inositol,myoInositol
C00445,"5,10-Methenyltetrahydrofolate",_510Methenyltetrahydrofolate
C04911,GM1,GM1
C03150,Nicotinamide-beta-riboside,Nicotinamidebetariboside
C11453,"2-C-Methyl-D-erythritol 2,4-cyclodiphosphate",_2CMethylDerythritol24cyclodiphosphate
C11811,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate,_1Hydroxy2methyl2butenyl4diphosphate
C00430,5-Aminolevulinate,_5Aminolevulinate
C01344,dIDP,dIDP
C06612,cis-3-Chloro-2-propene-1-ol,cis3Chloro2propene1ol
C02909,2-Naphthalenemethanol,_2Naphthalenemethanol
C05649,Dihydropteridine,Dihydropteridine
C03798,Peptidylproline,Peptidylproline
C01102,O-Phospho-L-homoserine,OPhosphoLhomoserine
C00263,L-Homoserine,LHomoserine
C00881,Deoxycytidine,Deoxycytidine
C00189,Ethanolamine,Ethanolamine
C11838,"(S)-4,5-Dihydroxypentane-2,3-dione",S45Dihydroxypentane23dione
C05686,Adenylylselenate,Adenylylselenate
C01345,dITP,dITP
C11088,Ethylene dibromide,Ethylenedibromide
C14089,1-Hydroxymethylnaphthalene,_1Hydroxymethylnaphthalene
C02496,"2,4-Dinitrophenol",_24Dinitrophenol
C00229,ACP,ACP
C00972,Aromatic oxo acid,Aromaticoxoacid
C04823,SAICAR,SAICAR
C14804,"1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene",_1Nitro7glutathionyl8hydroxy78dihydronaphthalene
C00086,Urea,Urea
C14861,"S-(2,2-Dichloro-1-hydroxy)ethyl glutathione",S22Dichloro1hydroxyethylglutathione
C00138,Reduced ferredoxin,Reducedferredoxin
C00383,Malonate,Malonate
C03546,Inositol 4-phosphate,Inositol4phosphate
C00314,Pyridoxine,Pyridoxine
C00459,dTTP,dTTP
C01798,D-Glucoside,DGlucoside
C00053,3'-Phosphoadenylyl sulfate,_3Phosphoadenylylsulfate
C01097,D-Tagatose 6-phosphate,DTagatose6phosphate
C03939,Acetyl-ACP,AcetylACP
C00139,Oxidized ferredoxin,Oxidizedferredoxin
C00029,UDP-glucose,UDPglucose
C00360,dAMP,dAMP
C05712,Cyanohydrin,Cyanohydrin
C16634,5-Fluorouridine monophosphate,_5Fluorouridinemonophosphate
C00559,Deoxyadenosine,Deoxyadenosine
C05947,L-erythro-4-Hydroxyglutamate,Lerythro4Hydroxyglutamate
C00058,Formate,Formate
C00047,L-Lysine,LLysine
C00673,2-Deoxy-D-ribose 5-phosphate,_2DeoxyDribose5phosphate
C01190,Glucosylceramide,Glucosylceramide
C03082,4-Phospho-L-aspartate,_4PhosphoLaspartate
C11824,Cyclic amide,Cyclicamide
C00365,dUMP,dUMP
C05923,"2,5-Diaminopyrimidine nucleoside triphosphate",_25Diaminopyrimidinenucleosidetriphosphate
C11638,3-Amino-2-oxopropyl phosphate,_3Amino2oxopropylphosphate
C03723,Ribonucleoside diphosphate,Ribonucleosidediphosphate
C06613,trans-3-Chloroallyl aldehyde,trans3Chloroallylaldehyde
C05526,S-Glutathionyl-L-cysteine,SGlutathionylLcysteine
C01647,tRNA(Met),tRNAMet
C01024,Hydroxymethylbilane,Hydroxymethylbilane
C16237,Protein N6-(lipoyl)lysine,ProteinN6lipoyllysine
C14180,S-(Hydroxymethyl)glutathione,SHydroxymethylglutathione
C05841,Nicotinate D-ribonucleoside,NicotinateDribonucleoside
C04633,(3R)-3-Hydroxypalmitoyl-ACP,_3R3HydroxypalmitoylACP
C00530,Hydroquinone,Hydroquinone
C05928,10-Formyl-THF-L-glutamate,_10FormylTHFLglutamate
C00407,L-Isoleucine,LIsoleucine
C00295,Orotate,Orotate
C01640,tRNA(Gln),tRNAGln
C06311,Galactitol 1-phosphate,Galactitol1phosphate
C00473,Retinol,Retinol
C00531,Itaconyl-CoA,ItaconylCoA
C00055,CMP,CMP
C14800,"1-Nitronaphthalene-5,6-oxide",_1Nitronaphthalene56oxide
C00493,Shikimate,Shikimate
C01648,tRNA(Phe),tRNAPhe
C14847,"3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene",_34Dihydro3hydroxy4Sglutathionylbromobenzene
C02426,L-Glyceraldehyde,LGlyceraldehyde
C00376,Retinal,Retinal
C00105,UMP,UMP
C00077,L-Ornithine,LOrnithine
C04732,5-Amino-6-(D-ribitylamino)uracil,_5Amino6Dribitylaminouracil
C01031,S-Formylglutathione,SFormylglutathione
C04283,"L-2,4-Diaminobutanoate",L24Diaminobutanoate
C06194,"2',3'-Cyclic GMP",_23CyclicGMP
C16586,"2-Phenyl-1,3-propanediol monocarbamate",_2Phenyl13propanediolmonocarbamate
C16565,Aminopropylcadaverine,Aminopropylcadaverine
C06156,D-Glucosamine 1-phosphate,DGlucosamine1phosphate
C05824,S-Sulfo-L-cysteine,SSulfoLcysteine
C04146,Farnesylfarnesylgeraniol,Farnesylfarnesylgeraniol
C01762,Xanthosine,Xanthosine
C01185,Nicotinate D-ribonucleotide,NicotinateDribonucleotide
C06611,trans-3-Chloroallyl alcohol,trans3Chloroallylalcohol
C06193,Guanosine 3'-phosphate,Guanosine3phosphate
C04650,Phosphinothricin,Phosphinothricin
C06010,(S)-2-Acetolactate,S2Acetolactate
C01653,tRNA(Val),tRNAVal
C00267,alpha-D-Glucose,alphaDGlucose
C05746,3-Oxohexanoyl-ACP,_3OxohexanoylACP
C00860,L-Histidinol,LHistidinol
C05577,DOPEGAL,DOPEGAL
C00506,L-Cysteate,LCysteate
C01346,dUDP,dUDP
C00451,D-threo-Isocitric acid,DthreoIsocitricacid
C05838,2-Coumarinate,_2Coumarinate
C00124,D-Galactose,DGalactose
C16614,6-Methylmercaptopurine,_6Methylmercaptopurine
C00362,dGMP,dGMP
C01236,"D-Glucono-1,5-lactone 6-phosphate",DGlucono15lactone6phosphate
C03657,"1,4-Dihydroxy-2-naphthoate",_14Dihydroxy2naphthoate
C00704,Superoxide,Superoxide
C00144,GMP,GMP
